state_code,district_code,india/states,division,group,class,nic_name,main_workers_total_persons,main_workers_total_males,main_workers_total_females,main_workers_rural_persons,main_workers_rural_males,main_workers_rural_females,main_workers_urban_persons,main_workers_urban_males,main_workers_urban_females,marginal_workers_total_persons,marginal_workers_total_males,marginal_workers_total_females,marginal_workers_rural_persons,marginal_workers_rural_males,marginal_workers_rural_females,marginal_workers_urban_persons,marginal_workers_urban_males,marginal_workers_urban_females
12,000,STATE - ARUNACHAL PRADESH,01,011,0111,"Growing of cereals (except rice), leguminous crops and oil seeds",171,98,73,131,81,50,40,17,23,33,16,17,30,14,16,3,2,1
12,000,STATE - ARUNACHAL PRADESH,01,011,0112,Growing of rice,1944,1106,838,1207,656,551,737,450,287,1005,480,525,780,375,405,225,105,120
12,000,STATE - ARUNACHAL PRADESH,01,011,0113,"Growing of vegetables and melons, roots and tubers",245,135,110,135,78,57,110,57,53,117,61,56,87,46,41,30,15,15
12,000,STATE - ARUNACHAL PRADESH,01,011,0114,Growing of sugar cane,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
12,000,STATE - ARUNACHAL PRADESH,01,011,0115,Growing of tobacco,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
12,000,STATE - ARUNACHAL PRADESH,01,011,0119,Growing of other non-perennial crop,13,13,0,9,9,0,4,4,0,6,6,0,6,6,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,01,012,0122,Growing of tropical and subtropical fruits,58,41,17,45,29,16,13,12,1,7,7,0,7,7,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,01,012,0123,Growing of citrus fruits,54,42,12,43,34,9,11,8,3,34,15,19,33,14,19,1,1,0
12,000,STATE - ARUNACHAL PRADESH,01,012,0124,Growing of pome fruits and stone fruits,62,44,18,51,35,16,11,9,2,12,10,2,11,9,2,1,1,0
12,000,STATE - ARUNACHAL PRADESH,01,012,0125,Growing of other tree and bush fruits and nuts,46,38,8,25,22,3,21,16,5,3,3,0,2,2,0,1,1,0
12,000,STATE - ARUNACHAL PRADESH,01,012,0126,Growing of oleaginous fruits,47,34,13,33,26,7,14,8,6,1,1,0,1,1,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,01,012,0127,Growing of beverage crops,7073,4266,2807,6899,4130,2769,174,136,38,937,206,731,927,199,728,10,7,3
12,000,STATE - ARUNACHAL PRADESH,01,012,0128,"Growing of spices, aromatic, drug and pharmaceutical crops",17,8,9,2,1,1,15,7,8,38,12,26,36,12,24,2,0,2
12,000,STATE - ARUNACHAL PRADESH,01,012,0129,Growing of other perennial crops,65,30,35,54,22,32,11,8,3,10,7,3,10,7,3,0,0,0
12,000,STATE - ARUNACHAL PRADESH,01,013,0130,Plant propagation,125,91,34,60,41,19,65,50,15,26,16,10,20,11,9,6,5,1
12,000,STATE - ARUNACHAL PRADESH,01,014,0141,Raising of cattle and buffaloes,929,747,182,828,671,157,101,76,25,168,88,80,155,78,77,13,10,3
12,000,STATE - ARUNACHAL PRADESH,01,014,0142,Raising of horses and other equines,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,01,014,0144,Raising of sheep and goats,41,33,8,37,30,7,4,3,1,6,4,2,5,3,2,1,1,0
12,000,STATE - ARUNACHAL PRADESH,01,014,0145,Raising of swine/pigs,43,34,9,35,30,5,8,4,4,16,2,14,13,2,11,3,0,3
12,000,STATE - ARUNACHAL PRADESH,01,014,0146,Raising of poultry,124,103,21,85,72,13,39,31,8,18,9,9,13,6,7,5,3,2
12,000,STATE - ARUNACHAL PRADESH,01,014,0149,Raising of other animals,202,162,40,139,115,24,63,47,16,38,5,33,36,5,31,2,0,2
12,000,STATE - ARUNACHAL PRADESH,01,015,0150,Mixed farming,369,219,150,223,127,96,146,92,54,208,93,115,153,72,81,55,21,34
12,000,STATE - ARUNACHAL PRADESH,01,016,0161,Support activities for crop production,991,689,302,615,439,176,376,250,126,188,103,85,130,71,59,58,32,26
12,000,STATE - ARUNACHAL PRADESH,01,016,0162,Support activities for animal production,26,13,13,18,6,12,8,7,1,0,0,0,0,0,0,0,0,0
12,000,STATE - ARUNACHAL PRADESH,01,016,0163,Post-harvest crop activities,304,216,88,132,101,31,172,115,57,83,49,34,69,46,23,14,3,11
